ds,trend,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Juneteenth National Independence Day,Juneteenth National Independence Day_lower,Juneteenth National Independence Day_upper,Labor Day,Labor Day_lower,Labor Day_upper,Martin Luther King Jr. Day,Martin Luther King Jr. Day_lower,Martin Luther King Jr. Day_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,y,yhat,yhat_lower,yhat_upper,sigma
2023-06-30,4976.119385292173,4976.119385292173,4976.119385292173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.725309011124018,13.725309011124018,13.725309011124018,0.0,0.0,0.0,13.725309011124018,13.725309011124018,13.725309011124018,0.0,0.0,0.0,4525.000000000001,4467.164003099271,3965.4083704245336,4968.919635774009,290.0321576154553
2023-07-01,5402.605170730535,5402.605170730532,5402.605170730532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.874420146537352,6.874420146537352,6.874420146537352,0.0,0.0,0.0,6.874420146537352,6.874420146537352,6.874420146537352,0.0,0.0,0.0,5957.0,5794.913257436998,5233.723418017993,6356.103096856003,324.3871904156095
2023-07-02,5148.754281759513,5148.754281759513,5148.754281759513,0.0,0.0,0.0,0.0,0.0,0.0,5.5505738627615635,5.5505738627615635,5.5505738627615635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.23607061724667,167.23607061724667,167.23607061724667,5.5505738627615635,5.5505738627615635,5.5505738627615635,111.85205126797356,111.85205126797356,111.85205126797356,0.0,0.0,0.0,7172.0,7171.853962295533,6548.669093675355,7795.0388309157115,360.22246741050793
2023-07-03,4901.011572647862,4901.011572647862,4901.011572647862,0.0,0.0,0.0,0.0,0.0,0.0,62.81173019221093,62.81173019221093,62.81173019221093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.71936084645074,104.71936084645074,104.71936084645074,62.81173019221093,62.81173019221093,62.81173019221093,5.326229959986953,5.326229959986953,5.326229959986953,0.0,0.0,0.0,6439.0,6438.53350103632,5851.069992265564,7025.997009807075,339.5742825264484
2023-07-04,4659.377043395581,4659.377043395581,4659.377043395581,0.0,0.0,0.0,0.0,0.0,0.0,426.78090805941224,426.78090805941224,426.78090805941224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.6616955885746,320.6616955885746,320.6616955885746,426.78090805941224,426.78090805941224,426.78090805941224,7.571561849045525,7.571561849045525,7.571561849045525,0.0,0.0,0.0,7426.0,7424.693105655819,6791.995178070786,8057.391033240851,365.7213454248743
2023-07-05,4423.85069400267,4423.85069400267,4423.85069400267,0.0,0.0,0.0,0.0,0.0,0.0,305.0589492983816,305.0589492983816,305.0589492983816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.3993995709961,160.3993995709961,160.3993995709961,305.0589492983816,305.0589492983816,305.0589492983816,23.050065487525313,23.050065487525313,23.050065487525313,0.0,0.0,0.0,6270.0,6268.985081765888,5668.9356754013315,6869.0344881304445,346.8493678407843
2023-07-06,4194.432521779949,4194.432521779949,4194.432521779949,0.0,0.0,0.0,0.0,0.0,0.0,9.26452969607598,9.26452969607598,9.26452969607598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.450951054640297,1.450951054640297,1.450951054640297,9.26452969607598,9.26452969607598,9.26452969607598,18.048250795731406,18.048250795731406,18.048250795731406,0.0,0.0,0.0,4040.0000000000005,4039.85890693429,3562.4208141997397,4517.296999668841,275.9757761471391
2023-07-07,3971.1225295617237,3971.1225295617237,3971.1225295617237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.725309011089074,13.725309011089074,13.725309011089074,0.0,0.0,0.0,13.725309011089074,13.725309011089074,13.725309011089074,0.0,0.0,0.0,3375.9999999999995,3517.922217775956,3080.3202964698507,3955.5241390820615,252.94908746017654
2023-07-08,3753.920717347998,3753.920717347998,3753.920717347998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.874420146362909,6.874420146362909,6.874420146362909,0.0,0.0,0.0,6.874420146362909,6.874420146362909,6.874420146362909,0.0,0.0,0.0,3944.9999999999995,4082.080233365216,3613.576638079689,4550.583828650743,270.8113267546399
2023-07-09,3783.1432666353166,3783.1432666353157,3783.1432666353157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.85205126804969,111.85205126804969,111.85205126804969,0.0,0.0,0.0,111.85205126804969,111.85205126804969,111.85205126804969,0.0,0.0,0.0,4925.0,5195.9985225328855,4657.51118024655,5734.485864819221,311.2643597030841
