ds,y
2023-06-20,1.0
2023-06-21,36.98678189802775
2023-06-22,37.03431555922006
2023-06-23,38.71692136521188
2023-06-24,60.76183012385325
2023-06-25,66.49060083951716
2023-06-26,60.049979184009715
2023-06-27,58.84725991921799
2023-06-28,58.034472514187634
2023-06-29,64.89221833163049
2023-06-30,67.26812023536856
2023-07-01,77.18160402582988
2023-07-02,84.68766143896052
2023-07-03,80.24337978923869
2023-07-04,86.17424209124209
2023-07-05,79.18333157931662
2023-07-06,63.56099432828282
2023-07-07,58.1033561853358
2023-07-08,62.80923498976882
2023-07-09,70.178344238091
2023-07-10,63.30876716537765
2023-07-11,62.928530890209096
2023-07-12,61.00819617067857
2023-07-13,57.61076288333631
2023-07-14,55.749439459065414
2023-07-15,58.39520528262573
2023-07-16,69.36137253543934
2023-07-17,62.161081071680215
2023-07-18,61.63602842493991
2023-07-19,60.21627686929839
2023-07-20,56.84188596448925
2023-07-21,56.674509261219015
2023-07-22,59.3548650070068
2023-07-23,66.79820356865893
2023-07-24,61.75759062657804
2023-07-25,57.33236433289665
2023-07-26,55.308227236099334
2023-07-27,55.380501984001555
2023-07-28,57.06137047074842
2023-07-29,65.25335240430181
2023-07-30,70.8237248385031
2023-07-31,63.490156717399906
2023-08-01,59.88321968631947
2023-08-02,54.881690936048976
2023-08-03,56.90342696182718
2023-08-04,55.299186250793966
2023-08-05,59.447455790807396
2023-08-06,67.20119046564577
2023-08-07,58.0689245638319
2023-08-08,54.89080068645383
2023-08-09,52.52618394667559
2023-08-10,53.50700888668698
2023-08-11,57.21013896155121
2023-08-12,56.178287620752556
2023-08-13,66.43794096749237
2023-08-14,58.489315263559035
2023-08-15,54.064775963653084
2023-08-16,52.92447448959697
2023-08-17,53.018864567246254
2023-08-18,63.3798075099633
2023-08-19,73.74279625834649
2023-08-20,83.28865468957942
2023-08-21,66.06814663663572
2023-08-22,53.80520420925842
2023-08-23,55.235857918565905
2023-08-24,52.46903848937962
2023-08-25,53.0
2023-08-26,58.0689245638319
2023-08-27,67.46109990209172
2023-08-28,63.00793600809346
2023-08-29,52.773099207835045
2023-08-30,54.589376255824725
2023-08-31,63.53739056650029
2023-09-01,63.874877690685246
2023-09-02,74.81310045707235
2023-09-03,80.83934685535256
2023-09-04,82.66196223173026
2023-09-05,73.57309290766564
2023-09-06,53.376024580330075
2023-09-07,75.98321990257506
2023-09-08,78.95871645913418
2023-09-09,87.31096657456213
2023-09-10,96.9606499269981
2023-09-11,90.5580036406521
2023-09-12,87.7866085386854
2023-09-13,88.19950408067749
2023-09-14,91.4470863116679
2023-09-15,94.4225832145207
2023-09-16,102.77483370674706
2023-09-17,112.42451743605899
2023-09-18,106.02187152654962
2023-09-19,103.25047680143466
2023-09-20,103.66337256559376
2023-09-21,
